			K00181	K03209	K00182	K00312	K00408	K00444	K00445	K00572	K00714	K01064	K01357	K01384	K01558	K01645	K19882	K01691	K19614	K16834	K02165	K02166	K02176	K02185	K02222	K02306	K02432	K02235	K02329	K02354	K02375	K02376	K02842	K04690	K03068	K10162	K08960	K02353	K03069	K03096	K03097	K03115	K03213	K03344	K03345	K03083	K02105	K02157	K04385	K02085	K08957	K02620	K04490	K04491	K04492	K04493	K04494	K04495	K04496	K04497	K04498	K04499	K04501	K04427	K04468	K04377	K04448	K04502	K04503	K10151	K10152	K04504	K01397	K04505	K04345	K04451	K04506	K04507	K03094	K04508	K03362	K03347	K03868	K08110	K04510	K04511	K19626	K04512	K04513	K17388	K04392	K07860	K07861	K04440	K05858	K04515	K04348	K06268	K02677	K19662	K19663	K04446
																																										Dmoj_GI18532									Dmoj_GI22355													Dmoj_GI17788															Dmoj_GI12503				Dmoj_GI20142								Dmoj_GI22601											
																																																			Dmoj_GI22988													Dmoj_GI26970																			Dmoj_GI25778																			
E.Ani	Drosophila	dvi	Dvir_GJ18984	Dvir_GJ20848				Dvir_GJ21907	Dvir_GJ20859	Dvir_GJ15051	Dvir_GJ10750		Dvir_GJ20870				Dvir_GJ13259	Dvir_GJ16546								Dvir_GJ13077	Dvir_GJ11377			Dvir_GJ17044	Dvir_GJ11825			Dvir_GJ19053	Dvir_GJ19682		Dvir_GJ10658	Dvir_GJ15240			Dvir_GJ11189	Dvir_GJ21399	Dvir_GJ13516			Dvir_GJ24323	Dvir_GJ19138	Dvir_GJ10774		Dvir_GJ24175	Dvir_GJ15916			Dvir_GJ21981					Dvir_GJ10351	Dvir_GJ23911	Dvir_GJ19060	Dvir_GJ23553	Dvir_GJ23092	Dvir_GJ19194	Dvir_GJ13897	Dvir_GJ18771	Dvir_GJ22384			Dvir_GJ14657				Dvir_GJ11519	Dvir_GJ22992		Dvir_GJ12343	Dvir_GJ16455	Dvir_GJ20688	Dvir_GJ17774	Dvir_GJ23285	Dvir_GJ17750	Dvir_GJ12485	Dvir_GJ13689	Dvir_GJ18462	Dvir_GJ15146		Dvir_GJ15849	Dvir_GJ22286		Dvir_GJ13209			Dvir_GJ21884	Dvir_GJ23620	Dvir_GJ20463	Dvir_GJ19343	Dvir_GJ14779	Dvir_GJ21016			
																																										Dvir_GJ20529				Dvir_GJ18748				Dvir_GJ14208	Dvir_GJ15665													Dvir_GJ22892											Dvir_GJ17913		Dvir_GJ12342		Dvir_GJ18822				Dvir_GJ15825			Dvir_GJ15157			Dvir_GJ20064		Dvir_GJ12360				Dvir_GJ17032		Dvir_GJ10500	Dvir_GJ21239	Dvir_GJ21015			
																																										Dvir_GJ16637									Dvir_GJ23524													Dvir_GJ20893											Dvir_GJ22991				Dvir_GJ18891				Dvir_GJ15904								Dvir_GJ10465											
																																										Dvir_GJ20708									Dvir_GJ21295													Dvir_GJ17190															Dvir_GJ22314				Dvir_GJ22419								Dvir_GJ23847											
																																																			Dvir_GJ24718													Dvir_GJ14078															Dvir_GJ12411				Dvir_GJ16241																			
																																																																Dvir_GJ26047															Dvir_GJ18483																							
																																																																Dvir_GJ26873																																						
E.Ani	Musca	mde	101890144	101888781				101892275	101898284	101889017	101899630	101893390	101896418				101891445	101898231								101898792	101898558			101898966	101897391			101896814	101888085		101899464	101897435			101896040	101897296	101898929			101897532	101899911	101894228		101895218	101888743			101891022					101890245	101899197	101894311	101897305	101896100	101898114	101898556	101887976	101896731			101899635				101890341	101888109		101894291	101888658	101898001	101893540	101901548	101893739	101897666	101897615	101887426	101896748		101889038	101900695		101900181			101900990	101890926	101888482	101891023	101894267	101894312			
				105262002							101899797	101893556														101887982	101890569															101901257												101889895																101891765					101900030						101893248		101900642			101894265					101897174			101896705	101896046		101900422		101894476			
				105262196							101899971															101893300	101887479																											101890063																					101899324																101898196						101890783					
																											109614181																											101897873																					101899500																101893580											
E.Ani	Anopheles	aga	AgaP_AGAP007962	AgaP_AGAP009734				AgaP_AGAP010290	AgaP_AGAP009733	AgaP_AGAP010283		AgaP_AGAP009735	AgaP_AGAP009731				AgaP_AGAP006073	AgaP_AGAP000117								AgaP_AGAP005799	AgaP_AGAP011379			AgaP_AGAP008871	AgaP_AGAP010442			AgaP_AGAP000168	AgaP_AGAP011770		AgaP_AGAP008476	AgaP_AGAP004448			AgaP_AGAP005569	AgaP_AGAP011438	AgaP_AGAP009925			AgaP_AGAP004443	AgaP_AGAP001043	AgaP_AGAP002123			AgaP_AGAP000627			AgaP_AGAP012389					AgaP_AGAP003893	AgaP_AGAP004280	AgaP_AGAP000029		AgaP_AGAP002902	AgaP_AGAP013516	AgaP_AGAP005898	AgaP_AGAP000646	AgaP_AGAP006386			AgaP_AGAP012299				AgaP_AGAP002957	AgaP_AGAP001384		AgaP_AGAP006127	AgaP_AGAP002107	AgaP_AGAP008719	AgaP_AGAP007739	AgaP_AGAP001944	AgaP_AGAP008007	AgaP_AGAP005202	AgaP_AGAP003559	AgaP_AGAP012288	AgaP_AGAP007648			AgaP_AGAP005160		AgaP_AGAP005445			AgaP_AGAP009461	AgaP_AGAP009115	AgaP_AGAP000028	AgaP_AGAP001279	AgaP_AGAP004298	AgaP_AGAP012252			
																											AgaP_AGAP011380																																																AgaP_AGAP008039																AgaP_AGAP001573			AgaP_AGAP009460	AgaP_AGAP001936							
																																																																																											AgaP_AGAP003092											
E.Ani	Aedes	aag	AaeL_AAEL014596	AaeL_AAEL010740				AaeL_AAEL014566	AaeL_AAEL000618	AaeL_AAEL008277		AaeL_AAEL000632	AaeL_AAEL000600				AaeL_AAEL000104	AaeL_AAEL011386								AaeL_AAEL000993	AaeL_AAEL009986			AaeL_AAEL008322	AaeL_AAEL006778			AaeL_AAEL006832	AaeL_AAEL009806		AaeL_AAEL002226	AaeL_AAEL008234			AaeL_AAEL012094	AaeL_AAEL017447	AaeL_AAEL014048			AaeL_AAEL005238	AaeL_AAEL002887	AaeL_AAEL003388			AaeL_AAEL007662			AaeL_AAEL000656					AaeL_AAEL005400	AaeL_AAEL010433	AaeL_AAEL017391	AaeL_AAEL004686	AaeL_AAEL013896	AaeL_AAEL007035	AaeL_AAEL004797		AaeL_AAEL003505			AaeL_AAEL011648				AaeL_AAEL017503	AaeL_AAEL007293		AaeL_AAEL009614	AaeL_AAEL013314	AaeL_AAEL009160	AaeL_AAEL003539	AaeL_AAEL003371	AaeL_AAEL013530	AaeL_AAEL004691	AaeL_AAEL000433	AaeL_AAEL006801	AaeL_AAEL006891		AaeL_AAEL013920	AaeL_AAEL013139		AaeL_AAEL009732			AaeL_AAEL008634	AaeL_AAEL010124	AaeL_AAEL013823	AaeL_AAEL008930	AaeL_AAEL010470	AaeL_AAEL001108			
				AaeL_AAEL000599						AaeL_AAEL015250		AaeL_AAEL010739															AaeL_AAEL013160																																						AaeL_AAEL012269										AaeL_AAEL001976				AaeL_AAEL010651			AaeL_AAEL008008									AaeL_AAEL015271			AaeL_AAEL008622	AaeL_AAEL009380	AaeL_AAEL013824						
																																																																															AaeL_AAEL010692												AaeL_AAEL006786				AaeL_AAEL017393							
E.Ani	Culex	cqu		CpipJ_CPIJ00583				CpipJ_CPIJ01528	CpipJ_CPIJ00583	CpipJ_CPIJ01771	CpipJ_CPIJ01110	CpipJ_CPIJ00583	CpipJ_CPIJ00583				CpipJ_CPIJ00660	CpipJ_CPIJ00376								CpipJ_CPIJ00015	CpipJ_CPIJ00767			CpipJ_CPIJ01947	CpipJ_CPIJ01804			CpipJ_CPIJ01815	CpipJ_CPIJ00080		CpipJ_CPIJ00350	CpipJ_CPIJ01658			CpipJ_CPIJ01154	CpipJ_CPIJ01499	CpipJ_CPIJ00189			CpipJ_CPIJ00611	CpipJ_CPIJ00670	CpipJ_CPIJ00122		CpipJ_CPIJ01811	CpipJ_CPIJ01757			CpipJ_CPIJ01391					CpipJ_CPIJ00636	CpipJ_CPIJ00922	CpipJ_CPIJ00554	CpipJ_CPIJ00328	CpipJ_CPIJ00256	CpipJ_CPIJ00637	CpipJ_CPIJ00491	CpipJ_CPIJ00979	CpipJ_CPIJ00008			CpipJ_CPIJ01452				CpipJ_CPIJ00972	CpipJ_CPIJ00263		CpipJ_CPIJ00924	CpipJ_CPIJ01859	CpipJ_CPIJ00970	CpipJ_CPIJ01091	CpipJ_CPIJ01710	CpipJ_CPIJ00309	CpipJ_CPIJ01288	CpipJ_CPIJ00748	CpipJ_CPIJ01053	CpipJ_CPIJ01280		CpipJ_CPIJ00200	CpipJ_CPIJ01900		CpipJ_CPIJ01326			CpipJ_CPIJ00115	CpipJ_CPIJ00840	CpipJ_CPIJ01764	CpipJ_CPIJ01869	CpipJ_CPIJ01460	CpipJ_CPIJ00570			
																											CpipJ_CPIJ00767																								CpipJ_CPIJ01798												CpipJ_CPIJ00256							CpipJ_CPIJ00853					CpipJ_CPIJ01825				CpipJ_CPIJ00176		CpipJ_CPIJ01790							CpipJ_CPIJ00200			CpipJ_CPIJ00140			CpipJ_CPIJ00115	CpipJ_CPIJ00077							
																											CpipJ_CPIJ00767																																											CpipJ_CPIJ01055									CpipJ_CPIJ00881															CpipJ_CPIJ00115								
																											CpipJ_CPIJ00767																																																				CpipJ_CPIJ01362															CpipJ_CPIJ01782								
																											CpipJ_CPIJ00768																																																				CpipJ_CPIJ02021																							
E.Ani	Apis	ame	726113	413502				414037	413501	411919			413500	725511			107963993	552805								552545	551124				100576247				551021	724378	412108	409050			409767	551655	724997			408976	408399	724501			410129			726671					409158	408894	726280	409544	409321	413809	410956	100576392	726289			413183				413169	409791		410808	412708	409234	410184	551517	410565	408691	552340	551508	410724		409001	409910	100578506	551554			409286	408996	551691	411046	551313	406106			
																																															550976																																		100576156										552138				408791							
																																																																																											552419											
E.Ani	Bombus	bim	100740785	100748497				100747561	100745430	100741405			100742836	100746902			100743784	100746683								100741307	100742935				100744444				100748621	100749316	100746962	100747477			100745536	100750200	100747713			100747625	100743524	100745962		100744104	100746961			100745788					100743504	100744796	100747609	100747904	100745462	100746656	100748253	100749108	100750048			100744328				100747205	105682024		100748470	100742154	100743026	100742324	100744475	100744502	100750218	100746016	100746503	100744620		100746211	100740548		100743585			100740816	100741416	100745387	100747656	100749634	100746615			
																																																																											100746977																100744787				100740167							
																																																																																											100750136				100745742							
E.Ani	Bombus	bter	100648194	100650550				100650651	100647833	100646705			100647715	100646489			100652269	100651797								100650315	100644081				100643816				100648695	100647353	100642332	100647590			100650733	100644006	100650213			100645880	100643381	100642412			100642468			100643645					100648677	100643077	100650829	100643427	100644192	100631093	100651912	100650167	100645950			100642333				100648974	100643510		100649684	100650477	100651427	100642986	100647997	100650301	100643234	100647740	100645552	100650810		100650848	100649013		100650134			100631091	100649981	100648089	100650999	100650453	100643492			
																																																											100651667																110120331																100645590				100642628							
																																																																																											100644515				100644023							
E.Ani	Solenopsis	soc	105193582	105200047				105193557	105200052	105193029			105200051	105205612			105194307	105194776								105194883	105198722			105207665	105198099		105201348		105208151	105201796	105201902	105197726			105204469	105201929	105196844			105193199	105196971	105204827		105197114	105206492			105198489					105207422	105194485	105195182	105207868	105196014	105207936	105201288	105195393	105200133			105196203				105196124	105193172		105203583	105195975	105195125	105196127	105193827	105194500	105195164	105200548	105202782	105198810		105205991	105199785		105205509			105195964	105200207	105205626	105205864	105201645	105198587			
																																																		105192873											105203934														105197741													105196682			105201154				105193187		105205723					
																																																																																											105192980				105194901							
E.Ani	Acromyrmex	aec	105152828	105150858				105151721	105150855				105150856	105146334			105150062	105151512								105153182	105149687			105150367	105153294		105148106		105153162	105143217	105145758	105148755			105149257	105149659	105145785			105152459	105153619	105150595		105148599	105152632			105151104					105153763	105148509	105146566	105154424	105151202	105150983	105144345		105155106			105149790				105152156	105151927		105153922	105148799	105145463	105152154	105152271	105148148	105148347	105147643	105154020	105153601		105149326	105148010		105146367			105148788	105143133	105148855	105150512	105144936	105150950			
																																																		105146750																													105144220												105144636				105153332							
																																																																																											105149944				105153367							
E.Ani	Harpegnathos	hst	105184742	105189237				105182188	105189290	105181239			105189297	105180551			105182767	105191690								105184463	105192613			105186245	105191621		105183423		105192025	105181959	105188474	105191205			105182786	105181055	105190705			105188825	105192008	105190922		105181272	105182729			105186992					105186873	105181682	105187319	105191750	105185083	105187438	105191859		105190515			105191023				105186097	105185095		105183140	105186042	105187367	105186096	105184823	105188454	105188519	105191387	105190459	105188468		105183599	105190197		105184898			105191959	105189361	105185279	105181729	105182789	105188500			
																																															105187706																												105187873										105190460						105188158				105184531							
																																																																																											105187151				105182692							
E.Ani	Camponotus	cfo	105248892	105258973				105256941	105258968	105259313			105258969	105259241			105255276	105250913								105253693	105252529			105251537	105255718		105250682		105248152	105257867	105255207	105257731			105256631	105257252	105252853			105258655	105257727	105256847		105251334	105247876			105253941					105251200	105258105	105255066	105248616	105249584	105256050	105248529	105258327	105253340			105248357				105252925	109610490		105254934	105250041	105255358	105249006	105256506	105249516	105252239	105251577	105259323	105255515		105255498	105249999		105250220			105253069	105249554	105254953	105248809	105250886	105256106			
																																																105259438																											105249574		105255090		105252836												105256136				105250162							
																																																																																											105248093				105255784							
																																																																																															105254466							
E.Ani	Nasonia	nvi	100122410	100119654				100120030	100119613	100122745			100119505	100679139				100123012								100121936	100122200				100114419		100115634		100119232		100169975	100124213			100121624	100118343				100117808	100119214	100120010		100118980	100114338			100120687					100118146		100123220	100119036	100677849	100120628	100121458	100679741	100123087			100117434				100113489	100328539		100119052	103317197	100119117	100113703	100122997	100123219	100115578	100123974	100124000	100114387		100114410	100114100	100119770	100115463			100121916	100120894	100122555	100118015	100121135	100116629			
																																																															103315855																103316687												100124157				100115054		100120040					
																																																																																											100301486				100122708							
E.Ani	Tribolium	tca	659497	656348				663552	656429	661936	660084	656264	656598	657726			107397420	656230								656854	663095			655955	656499				664383	103314170	661388	655946		107399299	660746	658630	661080			664299	660679	655873		661294	662101			641465					660954	656496	664565	660254	660074	656961	659674		663937			663226				662627	656552		660139	656124	663380	659772	664308	660670	655935		664055	661337		658864	663337		656798			663836	662602	655266	103312510	664163	656250			
																																									662984						659291																												655660		100142361												663316		656493				659062		657135					
																																																																													664417												661700		660912											
																																																																													103314761														655105											
																																																																													103314763																									
																																																																													103314764																									
																																																																													103314765																									
																																																																													103314766																									
																																																																													103314768																									
																																																																													103314123																									
																																																																													103313688																									
																																																																													107399267																									
																																																																													107398470																									
E.Ani	Bombyx	bmor	101737359	692745			101735411	101739064	101741216	101740841		101738490	101738620	101744696			101745444	692919								101743158	101740238			101742593	101740097				101738889	101746936	692728	101740539			692502	692538	101742309			100862751	101744450	101739893		101745327	692729			101742450					101736219		101744944	101739823	101745398	101744000	101737550	100862782	101736835			100862781				101739954	100101210	100384887	101736301	101741265	733106	101745860	101738795	101735981	692971	101745556	101743371	101737057		101736446	101739657		101739651			100126162	100329153	100462731	692577	692578	692526			
													101741036																																																														101736532		101735671					101735535									101736734				100329154							
																																																																											101736275																101746381											
																																																																											101738090																											
E.Ani	Danaus	dpl		KGM_18824			KGM_19669	KGM_00305	KGM_18826	KGM_01057		KGM_18823	KGM_20720	KGM_22286			KGM_20680	KGM_03203								KGM_20859	KGM_08443			KGM_07246	KGM_10324		KGM_22469		KGM_22461	KGM_19399	KGM_17544	KGM_12693			KGM_04623	KGM_17707	KGM_01859			KGM_11950	KGM_02613	KGM_06590		KGM_09620	KGM_00827			KGM_00141					KGM_13110		KGM_19207	KGM_03145	KGM_12572	KGM_17349	KGM_22338	KGM_06385				KGM_05265				KGM_17828	KGM_04138		KGM_03765	KGM_06710	KGM_05423	KGM_15880	KGM_12824	KGM_07657	KGM_05457	KGM_14515	KGM_08306	KGM_14390		KGM_19737	KGM_12842		KGM_15886			KGM_07703	KGM_11677	KGM_00436	KGM_01724	KGM_10531	KGM_03973			
								KGM_10835																																																																			KGM_10647		KGM_15045									KGM_01467		KGM_07323			KGM_17757											
																																																																											KGM_10349		KGM_01522														KGM_03086											
																																																																													KGM_15848																									
																																																																													KGM_09257																									
E.Ani	Plutella	pxy	105385137	105397911		105384815		105388528	105397939	105381122		105397940	105397909													105381425									105390018	105385635	105395805	105384961				105398640				105391020	105389628			105384934	105388216			105381194					105388880		105382489		105390488	105380044	105383690	105385775	105388607			105385267				105382417	105397916		105387644	105396941	105397971	105390468	105392356	105387130	105397966	105383683	105384274	105384052		105396640			105396950			105384949	105388539	105391166	105384905	105380958	105390120			
										105382091		105397537																										105380743				105387020								105388502									105384532																105384754		105398123	105388099			105393673	105394227						105397419			105384902			105396365	105394759							
										105382092																																																																	105391055		105398374					105384376									105384081				105384635							
																																																																													105382923														105390465				105396020							
																																																																													105388691																		105389487							
E.Ani	Acyrthosiphon	api	100570269	100162071				100162376		100168810				100164094	100159117		100165630	100569060								100164483	100166935				100162853				100163985			100166217			100160732	100145847				103308140	100166193	100167569		100166146	100166787			100161896					100158965		100162127	100161840	100158761	100159713	100162414		100161138			100164890					100161173	100575088	100164664		100164917	100168609	100166937	100160902	100162035	100168053	100166671	100159889		100160941	100162082	100164812	100163291			100163276	100166756	100161639	100162175	100162564	100161464			
								100574026		100576077																																100166861				100168568	100162045																100158948				100160348			100167546					100163418		103310302		100168123	100163491			100162097						100160039		100168858				100162131							
																																																															100162614												100159120					100163922									100165277		100165022											
																																																															100164543												100159340																											
																																																															100167677																																							
E.Ani	Pediculus	phu	Phum_PHUM569150	Phum_PHUM151650				Phum_PHUM038300	Phum_PHUM151640		Phum_PHUM128350		Phum_PHUM151330				Phum_PHUM253970	Phum_PHUM477220								Phum_PHUM075610	Phum_PHUM074100			Phum_PHUM440660	Phum_PHUM188130		Phum_PHUM024690		Phum_PHUM086410			Phum_PHUM575280			Phum_PHUM404140	Phum_PHUM490980				Phum_PHUM299450	Phum_PHUM280840	Phum_PHUM327400		Phum_PHUM390670	Phum_PHUM456320			Phum_PHUM222010					Phum_PHUM549040	Phum_PHUM399450	Phum_PHUM086710	Phum_PHUM307470	Phum_PHUM002670	Phum_PHUM125410	Phum_PHUM233790	Phum_PHUM566250	Phum_PHUM379500			Phum_PHUM503450				Phum_PHUM238320	Phum_PHUM318270		Phum_PHUM333800		Phum_PHUM503280	Phum_PHUM076530	Phum_PHUM317850	Phum_PHUM207700	Phum_PHUM087130	Phum_PHUM310930	Phum_PHUM338360	Phum_PHUM142030		Phum_PHUM230120	Phum_PHUM309390	Phum_PHUM507390	Phum_PHUM344070			Phum_PHUM128040	Phum_PHUM231170	Phum_PHUM536570	Phum_PHUM596230	Phum_PHUM604220				
																											Phum_PHUM074510																				Phum_PHUM000560																							Phum_PHUM009080					Phum_PHUM488810		Phum_PHUM566930					Phum_PHUM546660									Phum_PHUM376850				Phum_PHUM447590							
																																															Phum_PHUM000580																												Phum_PHUM137480																Phum_PHUM535910				Phum_PHUM602870							
																																																																											Phum_PHUM318060																											
E.Ani	Daphnia	dpx	DAPPUDRAFT_3031	DAPPUDRAFT_2906	DAPPUDRAFT_4347		DAPPUDRAFT_5916	DAPPUDRAFT_6467	DAPPUDRAFT_2906	DAPPUDRAFT_6464	DAPPUDRAFT_3475	DAPPUDRAFT_2906	DAPPUDRAFT_2906	DAPPUDRAFT_2906	DAPPUDRAFT_4842		DAPPUDRAFT_5729	DAPPUDRAFT_1169						DAPPUDRAFT_5876	DAPPUDRAFT_3000		DAPPUDRAFT_3468				DAPPUDRAFT_3475				DAPPUDRAFT_2636		DAPPUDRAFT_2321	DAPPUDRAFT_3468			DAPPUDRAFT_2236	DAPPUDRAFT_3058				DAPPUDRAFT_2996	DAPPUDRAFT_2905	DAPPUDRAFT_3016		DAPPUDRAFT_4402	DAPPUDRAFT_3011			DAPPUDRAFT_8813					DAPPUDRAFT_3047	DAPPUDRAFT_2997	DAPPUDRAFT_2035	DAPPUDRAFT_3088	DAPPUDRAFT_3041	DAPPUDRAFT_3016	DAPPUDRAFT_2098		DAPPUDRAFT_3060							DAPPUDRAFT_2051	DAPPUDRAFT_2294		DAPPUDRAFT_3468	DAPPUDRAFT_1955		DAPPUDRAFT_2711	DAPPUDRAFT_3351	DAPPUDRAFT_3035	DAPPUDRAFT_6065		DAPPUDRAFT_5244	DAPPUDRAFT_2109		DAPPUDRAFT_3068	DAPPUDRAFT_3298		DAPPUDRAFT_5864			DAPPUDRAFT_1878	DAPPUDRAFT_2263	DAPPUDRAFT_1984	DAPPUDRAFT_6251	DAPPUDRAFT_3067				
							DAPPUDRAFT_2906																												DAPPUDRAFT_3102																										DAPPUDRAFT_6495														DAPPUDRAFT_3199		DAPPUDRAFT_3040			DAPPUDRAFT_2714	DAPPUDRAFT_3024		DAPPUDRAFT_6550						DAPPUDRAFT_3019		DAPPUDRAFT_3182			DAPPUDRAFT_1278	DAPPUDRAFT_2063		DAPPUDRAFT_3120					
																																																																																DAPPUDRAFT_1144	DAPPUDRAFT_2996		DAPPUDRAFT_6550								DAPPUDRAFT_3038											
																																																																																DAPPUDRAFT_1136	DAPPUDRAFT_3022		DAPPUDRAFT_4073								DAPPUDRAFT_3075											
																																																																																DAPPUDRAFT_2244	DAPPUDRAFT_3022		DAPPUDRAFT_6550								DAPPUDRAFT_2999											
																																																																																DAPPUDRAFT_9971	DAPPUDRAFT_3051										DAPPUDRAFT_3182											
																																																																																DAPPUDRAFT_3181	DAPPUDRAFT_3194																					
																																																																																DAPPUDRAFT_3149	DAPPUDRAFT_3310																					
																																																																																DAPPUDRAFT_3089	DAPPUDRAFT_3310																					
																																																																																DAPPUDRAFT_3091	DAPPUDRAFT_3310																					
																																																																																DAPPUDRAFT_3137	DAPPUDRAFT_3112																					
																																																																																DAPPUDRAFT_2525	DAPPUDRAFT_3137																					
																																																																																DAPPUDRAFT_2587	DAPPUDRAFT_3137																					
																																																																																DAPPUDRAFT_2459	DAPPUDRAFT_3003																					
																																																																																DAPPUDRAFT_5326	DAPPUDRAFT_3200																					
																																																																																DAPPUDRAFT_3206	DAPPUDRAFT_1049																					
																																																																																DAPPUDRAFT_1057	DAPPUDRAFT_3264																					
																																																																																DAPPUDRAFT_3140	DAPPUDRAFT_3025																					
																																																																																DAPPUDRAFT_3140	DAPPUDRAFT_3368																					
																																																																																DAPPUDRAFT_2225																						
																																																																																DAPPUDRAFT_3140																						
																																																																																DAPPUDRAFT_2536																						
																																																																																DAPPUDRAFT_3142																						
																																																																																DAPPUDRAFT_9899																						
E.Ani	Ixodes	isc		IscW_ISCW019946			IscW_ISCW005711	IscW_ISCW020393	IscW_ISCW004123	IscW_ISCW022384		IscW_ISCW019945		IscW_ISCW004707	IscW_ISCW005053		IscW_ISCW007176	IscW_ISCW021962							IscW_ISCW003981		IscW_ISCW004077			IscW_ISCW016122	IscW_ISCW003177		IscW_ISCW015217		IscW_ISCW023971		IscW_ISCW002293	IscW_ISCW005035			IscW_ISCW007259	IscW_ISCW014459	IscW_ISCW007489			IscW_ISCW013160	IscW_ISCW023688	IscW_ISCW013850		IscW_ISCW012393	IscW_ISCW001795			IscW_ISCW001287					IscW_ISCW010116		IscW_ISCW021822	IscW_ISCW020079	IscW_ISCW018468	IscW_ISCW023496	IscW_ISCW003529	IscW_ISCW023000					IscW_ISCW001350			IscW_ISCW020583	IscW_ISCW002700	IscW_ISCW018042	IscW_ISCW015643	IscW_ISCW012295	IscW_ISCW001784	IscW_ISCW008840		IscW_ISCW013256	IscW_ISCW018511		IscW_ISCW005356	IscW_ISCW000275	IscW_ISCW017470	IscW_ISCW018883	IscW_ISCW016777		IscW_ISCW011749			IscW_ISCW020577	IscW_ISCW001177	IscW_ISCW015680	IscW_ISCW024405	IscW_ISCW016907	IscW_ISCW020000			
							IscW_ISCW016648	IscW_ISCW024201										IscW_ISCW006411																												IscW_ISCW009451					IscW_ISCW007936												IscW_ISCW007667								IscW_ISCW001349			IscW_ISCW022390	IscW_ISCW014222	IscW_ISCW012889		IscW_ISCW013691											IscW_ISCW006741		IscW_ISCW016255				IscW_ISCW001178							
								IscW_ISCW020392																																																																																	IscW_ISCW004347													
																																																																																									IscW_ISCW004348													
																																																																																									IscW_ISCW004349													
E.Ani	Caenorhabditis	cel	CELE_T07H6.2				CELE_F38E1.7								CELE_W08D2.1										CELE_Y73B6BL.21		CELE_T23D8.1			CELE_Y34D9B.1	CELE_F27E11.3		CELE_Y71F9B.5					CELE_C34F11.9			CELE_B0205.7	CELE_T01G9.6				CELE_Y18D10A.5	CELE_C54D1.6	CELE_C37A5.9			CELE_C03C10.1			CELE_W10C8.2					CELE_F49E10.5		CELE_R10E11.1	CELE_C27H6.2	CELE_R12B2.1	CELE_Y105C5A.24	CELE_W06F12.1					CELE_Y38F1A.5				CELE_F35H12.3	CELE_ZK909.2		CELE_Y37E11AR.2		CELE_F46A9.5		CELE_K10B2.1	CELE_D2045.6	CELE_ZK287.5		CELE_B0410.2			CELE_F56E10.2	CELE_Y51H4A.3		CELE_C09G12.8			CELE_B0478.1	CELE_B0348.4	CELE_K11E8.1	CELE_C02F4.2	CELE_F55C10.1	CELE_E01H11.1			
							CELE_K10B4.6																															CELE_C27A2.6								CELE_C44H4.6	CELE_B0336.1																CELE_F25E2.5																CELE_K08H2.1			CELE_K08E7.7									CELE_C35C5.4			CELE_T07A9.3								
																																														CELE_R03D7.5	CELE_K05C4.6																																CELE_F47H4.10												CELE_K03D3.10			CELE_ZC416.4								
																																																																															CELE_Y60A3A.18																							
																																																																															CELE_F44G3.6																							
																																																																															CELE_F46A9.4																							
																																																																															CELE_R12H7.5																							
																																																																															CELE_Y37H2C.2																							
																																																																															CELE_C52D10.6																							
																																																																															CELE_C52D10.7																							
																																																																															CELE_C52D10.8																							
																																																																															CELE_C52D10.9																							
																																																																															CELE_F54D10.1																							
																																																																															CELE_Y105C5B.13																							
																																																																															CELE_Y47D7A.1																							
																																																																															CELE_Y47D7A.8																							
																																																																															CELE_C06A8.4																							
																																																																															CELE_C42D4.6																							
																																																																															CELE_F56B3.12																							
																																																																															CELE_R12H7.3																							
E.Ani	Caenorhabditis	cbr	CBG05032				CBG11282								CBG03476												CBG03824			CBG05130	CBG22418		CBG04112					CBG02318			CBG12820	CBG04088				CBG07972	CBG09006	CBG18802			CBG20206			CBG04236					CBG14767		CBG09974	CBG19422	CBG09090		CBG18286					CBG02768				CBG08092	CBG19814		CBG08288		CBG03758		CBG02640	CBG18382	CBG19342		CBG02029			CBG06440	CBG13664		CBG15031			CBG05733	CBG06373	CBG04391	CBG08362	CBG23183	CBG16150			
																																						CBG02352								CBG07560	CBG19745																CBG08108																CBG14875												CBG17302											
																																														CBG20633	CBG10985																																CBG14876																							
																																																																															CBG05261																							
																																																																															CBG03757																							
																																																																															CBG00481																							
																																																																															CBG18731																							
																																																																															CBG12958																							
																																																																															CBG02202																							
																																																																															CBG09040																							
																																																																															CBG05260																							
																																																																															CBG05259																							
																																																																															CBG00482																							
																																																																															CBG00496																							
																																																																															CBG02413																							
																																																																															CBG09125																							
																																																																															CBG09126																							
																																																																															CBG10989																							
																																																																															CBG15156																							
																																																																															CBG05791																							
																																																																															CBG12957																							
E.Ani	Brugia	bmy	Bm1_33300				Bm1_11665																		Bm1_37320		Bm1_47980				Bm1_50235		Bm1_47955		Bm1_38925			Bm1_23120			Bm1_49830	Bm1_48865				Bm1_31380	Bm1_34935	Bm1_56035		Bm1_48830	Bm1_45085			Bm1_47615					Bm1_40340		Bm1_18500	Bm1_15605	Bm1_38760	Bm1_26085	Bm1_00130		Bm1_43340			Bm1_02025				Bm1_20450	Bm1_11790		Bm1_36670	Bm1_00445	Bm1_00275	Bm1_32745	Bm1_14105	Bm1_21420	Bm1_05985		Bm1_38130	Bm1_38530		Bm1_25450	Bm1_32605		Bm1_00680			Bm1_40555	Bm1_51505	Bm1_37210	Bm1_31320	Bm1_50880	Bm1_31105			
